day,home,away,stadium,crowd
금,NC,KIA,창원,"9,871"
금,삼성,KT,대구,"8,056"
금,LG,롯데,잠실,"19,377"
금,키움,두산,고척,"4,040"
토,LG,한화,잠실,"16,775"
토,NC,KIA,창원,"12,938"
토,키움,롯데,고척,"9,442"
토,SSG,두산,문학,"19,253"
일,두산,한화,잠실,"9,590"
일,삼성,KIA,대구,"17,730"
일,NC,KT,창원,"5,148"
일,SSG,LG,문학,"23,000"
화,한화,LG,대전,"3,110"
화,KT,두산,수원,"4,196"
화,NC,키움,창원,"2,571"
수,한화,LG,대전,"2,845"
수,KT,두산,수원,"5,220"
수,NC,삼성,창원,"5,164"
목,LG,KT,잠실,"10,859"
목,KIA,롯데,광주,"6,294"
목,삼성,NC,대구,"7,703"
목,한화,두산,대전,"2,018"
목,SSG,키움,문학,"13,358"
금,한화,롯데,대전,"4,025"
금,LG,NC,잠실,"11,076"
금,삼성,두산,대구,"9,081"
금,SSG,키움,문학,"20,422"
토,LG,NC,잠실,"17,282"
토,삼성,두산,대구,"15,964"
토,KIA,SSG,광주,"13,341"
일,한화,KIA,대전,"11,336"
일,LG,NC,잠실,"15,711"
일,롯데,두산,사직,"14,088"
월,롯데,두산,사직,"11,162"
월,한화,SSG,대전,"7,023"
화,LG,KIA,잠실,"13,385"
화,KT,삼성,수원,"5,451"
수,KIA,LG,광주,"5,487"
수,NC,롯데,창원,"11,326"
수,두산,SSG,잠실,"9,474"
수,KT,삼성,수원,"7,226"
목,KIA,LG,광주,"5,209"
목,NC,SSG,창원,"6,064"
목,두산,삼성,잠실,"7,350"
목,한화,키움,대전,"9,802"
금,KIA,KT,광주,"15,175"
금,NC,LG,창원,"6,257"
금,두산,삼성,잠실,"11,681"
토,NC,한화,창원,"12,462"
토,KIA,KT,광주,"17,231"
토,롯데,LG,사직,"22,990"
토,삼성,SSG,대구,"24,000"
토,두산,키움,잠실,"23,511"
월,KT,NC,수원,"10,535"
화,LG,KT,잠실,"10,092"
